Fecha;Concepto;Proveedor;Moneda;Monto;TC;Monto en USD;Origen;Forma;Destino;Tipo Comprobante;Comp. No.;Recibo;Estado del Pago;Vencimiento;Cheque No.;Fecha de Pago;Ref. Operaci¢n;ID Mes Registro;ID Registro;Proyecto;ID Mes Pago;Categor¡a;éltimo Registro: 3717;éltimo en Costos: 3626 (Obsoleto);;;;;;;
25/10/17;Varios;Varios;USD;12.573,00;1,00;12.573,00;PSS;No Aplica;Costos;Sin Comp.;N/A;N/A;;;;;;;3627;3;;1;;;;;;;;;
11/11/17;Constituci¢n SRL;Esc. Wortman;UYU;14.479,00;29,25;495,09;Javier;Transf. Ita£ Javier;Gastos;Cr‚dito;1203;415;;;;;;;1;;;;;;;;;;;;
11/11/17;Gastos SRL (Ap.Not., Tasa  Reg., Publicaciones);Esc. Wortman;UYU;9.577,00;29,25;327,47;Javier;Transf. Ita£ Javier;Gastos;;;;;;;;;;2;;;;;;;;;;;;
13/11/17;Hosting y Dominio;Trepcom SRL;USD;90,00;1,00;90,00;Javier;Transf. Ita£ Javier;Gastos;Boleta;2284;N/A;;;;;;;3;;;;;;;;;;;;
13/11/17;Alquiler Noviembre y Diciembre;Federico Del Rey;UYU;21.000,00;29,22;718,81;Juan;Transf. BBVA Juan;Alquileres;Sin Comp.;N/A;N/A;;;;;;;4;;;;;;;;;;;;
14/11/17;Desayuno;L¢pez y Pardi¤as Ltda.;UYU;417,00;29,29;14,24;Juan;D‚bito BBVA Juan;Gastos;Boleta;7387;N/A;;;;;;;5;;;;;;;;;;;;
14/11/17;Monitores e Impresora;Fidelity Enterprise Group SRL;UYU;19.000,00;29,29;648,69;Juan;Transf. BBVA Juan;Muebles y étiles;Boleta;1354;N/A;;;;;;;6;;;;;;;;;;;;
14/11/17;Sillas;Tecnomadera SA;UYU;18.926,00;29,29;646,16;Javier;Efectivo;Muebles y étiles;Boleta;2008;N/A;;;;;;;7;;;;;;;;;;;;
14/11/17;Almuerzo;BAR 36;UYU;740,00;29,29;25,26;Juan;Efectivo;Gastos;Boleta;30524;N/A;;;;;;;8;;;;;;;;;;;;
14/11/17;Compras Aldo Express;Papeler¡a Aldo S.A.;USD;70,99;1,00;70,99;Javier;Transf. Ita£ Javier;Muebles y étiles;Boleta;264174;N/A;;;;;;;9;;;;;;;;;;;;
14/11/17;Compras Aldo Express;Papeler¡a Aldo S.A.;UYU;9.055,00;29,29;309,15;Javier;Transf. Ita£ Javier;Muebles y étiles;Boleta;264346;N/A;;;;;;;10;;;;;;;;;;;;
15/11/17; Zapatiila y cables;NET PC/ Naltilex S.A.;USD;117,00;1,00;117,00;Juan;D‚bito BBVA Juan;Muebles y étiles;Boleta;195484;N/A;;;;;;;11;;;;;;;;;;;;
16/11/17;Modem y Power Line;Marcelo Sniadover;UYU;4.100,00;29,44;139,29;Juan;Transf. BBVA Juan;Muebles y étiles;Boleta;65;N/A;;;;;;;12;;;;;;;;;;;;
16/11/17;Modem y Power Line;Marcelo Sniadover;UYU;2.035,50;29,44;69,15;Javier;Efectivo;Muebles y étiles;Boleta;65;N/A;;;;;;;13;;;;;;;;;;;;
17/11/17;Imprenta Facturas Remitos Rec.;Imprenta Omega/Mabinor S.A.;UYU;9.272,00;29,49;314,46;Javier;Efectivo;Gastos;Boleta;1707;N/A;;;;;;;14;;;;;;;;;;;;
19/11/17;Compras Disco;Disco;UYU;1.978,00;29,49;67,08;Javier;D‚bito Ita£ Javier;Gastos;Boleta;2057668;N/A;;;;;;;15;;;;;;;;;;;;
28/11/17;Factura Trepcom Google Apps;Trepcom SRL;USD;340,00;1,00;340,00;Javier;Transf. Ita£ Javier;Gastos;Cr‚dito;2304;1151;;;;;;;16;;;;;;;;;;;;
